year,month,level
1977,9,-0.073
1977,10,-0.045
1977,11,-0.018000000000000002
1977,12,-0.009000000000000001
1978,1,0.0
1978,2,0.002
1978,3,-0.006
1978,4,-0.053
1978,5,-0.047
1978,6,-0.081
1978,7,-0.085
1978,8,-0.081
1978,9,-0.051
1978,10,-0.02
1978,11,-0.024
1978,12,-0.024
1979,1,0.001
1979,2,-0.032
1979,3,-0.034
1979,4,-0.037000000000000005
1979,5,-0.063
1979,6,-0.055999999999999994
1979,7,-0.057
1979,8,-0.042
1979,9,-0.039
1979,10,-0.069
1979,11,-0.076
1979,12,-0.027000000000000003
1980,1,0.006
1980,2,0.046
1980,3,-0.006999999999999999
1980,4,-0.027999999999999997
1980,5,-0.040999999999999995
1980,6,-0.040999999999999995
1980,7,-0.091
1980,8,-0.039
1980,9,-0.061
1980,10,-0.069
1980,11,-0.073
1980,12,-0.036000000000000004
1981,1,-0.015
1981,2,-0.039
1981,3,-0.035
1981,4,-0.012
1981,5,0.013000000000000001
1981,6,-0.013000000000000001
1981,7,-0.024
1981,8,-0.057
1981,9,-0.08800000000000001
1981,10,-0.054000000000000006
1981,11,-0.064
1981,12,-0.067
1982,1,-0.086
1982,2,-0.054000000000000006
1982,3,-0.001
1982,4,-0.057999999999999996
1982,5,-0.005
1982,6,-0.05
1982,7,-0.048
1982,8,-0.008
1982,9,0.046
1982,10,0.044000000000000004
1982,11,0.122
1982,12,0.073
1983,1,0.128
1983,2,0.068
1983,3,0.013999999999999999
1983,4,0.039
1983,5,0.028999999999999998
1983,6,0.09300000000000001
1983,7,0.095
1983,8,0.086
1983,9,0.11
1983,10,0.062
1983,11,-0.006
1983,12,-0.036000000000000004
1984,1,-0.027999999999999997
1984,2,-0.045
1984,3,0.023
1984,4,-0.009000000000000001
1984,5,0.028999999999999998
1984,6,0.026000000000000002
1984,7,0.037000000000000005
1984,8,0.032
1984,9,0.061
1984,10,-0.011000000000000001
1984,11,-0.048
1984,12,-0.03
1985,1,-0.031
1985,2,-0.042
1985,3,-0.071
1985,4,-0.012
1985,5,-0.06
1985,6,-0.040999999999999995
1985,7,-0.015
1985,8,-0.048
1985,9,-0.03
1985,10,-0.023
1985,11,-0.039
1985,12,-0.045
1986,1,-0.052000000000000005
1986,2,-0.018000000000000002
1986,3,-0.05
1986,4,-0.009000000000000001
1986,5,-0.011000000000000001
1986,6,-0.05
1986,7,-0.036000000000000004
1986,8,-0.039
1986,9,-0.039
1986,10,-0.017
1986,11,0.043
1986,12,0.034
1987,1,0.003
1987,2,0.057999999999999996
1987,3,-0.013000000000000001
1987,4,-0.012
1987,5,0.038
1987,6,-0.035
1987,7,-0.008
1987,8,-0.02
1987,9,-0.003
1987,10,-0.013999999999999999
1987,11,0.031
1987,12,-0.042
1988,1,-0.052000000000000005
1988,2,0.004
1988,3,0.002
1988,4,0.009000000000000001
1988,5,-0.051
1988,6,-0.059000000000000004
1988,7,-0.021
1988,8,-0.045
1988,9,-0.024
1988,10,-0.039
1988,11,-0.106
1988,12,-0.106
1989,1,-0.113
1989,2,-0.125
1989,3,-0.025
1989,4,-0.015
1989,5,0.01
1989,6,-0.01
1989,7,-0.002
1989,8,-0.035
1989,9,0.006
1989,10,-0.033
1989,11,0.025
1989,12,-0.006
1990,1,0.003
1990,2,-0.033
1990,3,-0.006999999999999999
1990,4,0.027000000000000003
1990,5,-0.005
1990,6,0.042
1990,7,0.016
1990,8,0.001
1990,9,0.027999999999999997
1990,10,0.077
1990,11,0.068
1990,12,0.012
1991,1,0.027000000000000003
1991,2,0.052000000000000005
1991,3,-0.004
1991,4,-0.031
1991,5,-0.040999999999999995
1991,6,-0.006999999999999999
1991,7,0.01
1991,8,-0.02
1991,9,0.006
1991,10,0.05
1991,11,0.061
1991,12,0.027999999999999997
1992,1,0.107
1992,2,0.11599999999999999
1992,3,0.157
1992,4,0.08199999999999999
1992,5,0.044000000000000004
1992,6,-0.01
1992,7,0.034
1992,8,0.022000000000000002
1992,9,-0.009000000000000001
1992,10,0.037000000000000005
1992,11,0.077
1992,12,0.025
1993,1,0.1
1993,2,0.054000000000000006
1993,3,0.036000000000000004
1993,4,0.018000000000000002
1993,5,0.035
1993,6,0.045
1993,7,0.034
1993,8,0.001
1993,9,-0.006
1993,10,0.027999999999999997
1993,11,0.002
1993,12,-0.034
1994,1,-0.019
1994,2,-0.052000000000000005
1994,3,0.019
1994,4,-0.059000000000000004
1994,5,-0.043
1994,6,-0.048
1994,7,-0.019
1994,8,0.005
1994,9,-0.02
1994,10,0.005
1994,11,-0.019
1994,12,-0.024
1995,1,-0.002
1995,2,0.033
1995,3,0.018000000000000002
1995,4,-0.036000000000000004
1995,5,-0.049
1995,6,-0.019
1995,7,-0.018000000000000002
1995,8,0.027999999999999997
1995,9,-0.005
1995,10,-0.033
1995,11,-0.033
1995,12,-0.009000000000000001
1996,1,-0.055
1996,2,-0.013000000000000001
1996,3,-0.019
1996,4,-0.03
1996,5,0.013000000000000001
1996,6,-0.013999999999999999
1996,7,-0.035
1996,8,-0.006
1996,9,0.012
1996,10,-0.0
